0	0	252754513.000000	2.824866e-05	7.188236e-05
0	1	263351071.000000	2.643186e-05	6.097536e-05
0	2	266172179.000000	2.497088e-05	4.698163e-05
0	3	260975254.000000	2.376995e-05	3.156347e-05
0	4	250873758.000000	2.278304e-05	1.514957e-05
0	5	235479602.000000	2.198336e-05	-1.990297e-06
0	6	216665803.000000	2.135032e-05	-1.804357e-05
0	7	195848262.000000	2.089241e-05	-3.387020e-05
0	8	174096283.000000	2.055681e-05	-4.856014e-05
0	9	152188941.000000	2.033867e-05	-6.230228e-05
0	10	131251557.000000	2.020753e-05	-7.418318e-05
0	11	111915687.000000	2.030994e-05	-8.434547e-05
0	12	94522559.000000	2.047686e-05	-9.252130e-05
0	13	79567593.000000	2.084175e-05	-9.813326e-05
0	14	66416103.000000	2.124849e-05	-1.021788e-04
0	15	55340621.000000	2.187232e-05	-1.053721e-04
0	16	46185880.000000	2.272436e-05	-1.060141e-04
0	17	38588299.000000	2.368345e-05	-1.060722e-04
0	18	32143697.000000	2.468051e-05	-1.039268e-04
0	19	27087107.000000	2.585488e-05	-1.003540e-04
0	20	22995811.000000	2.724640e-05	-9.700098e-05
0	21	19645641.000000	2.878137e-05	-9.226270e-05
0	22	16823002.000000	3.077635e-05	-8.856463e-05
0	23	14548948.000000	3.245017e-05	-8.417469e-05
0	24	12720696.000000	3.432116e-05	-8.040843e-05
0	25	11292429.000000	3.601060e-05	-7.626470e-05
0	26	9936585.000000	3.777173e-05	-7.403781e-05
0	27	8837092.000000	3.928369e-05	-7.155284e-05
0	28	7985897.000000	4.093090e-05	-7.061982e-05
0	29	7185866.000000	4.262711e-05	-6.885893e-05
0	30	6547069.000000	4.496929e-05	-6.519106e-05
0	31	6019701.000000	4.679942e-05	-6.309030e-05
0	32	5602580.000000	4.850860e-05	-6.341356e-05
0	33	5190460.000000	4.993365e-05	-6.379057e-05
0	34	4913281.000000	5.086400e-05	-6.947735e-05
0	35	4648582.000000	5.134082e-05	-7.172132e-05
0	36	4324572.000000	5.266552e-05	-7.252937e-05
0	37	4075149.000000	5.430828e-05	-7.621732e-05
0	38	3895169.000000	5.577338e-05	-7.987406e-05
0	39	3627857.000000	5.711297e-05	-8.182198e-05
0	40	3499922.000000	5.790515e-05	-8.433367e-05
0	41	3293733.000000	5.854325e-05	-8.900793e-05
0	42	3164024.000000	5.983820e-05	-9.285307e-05
0	43	3032478.000000	6.097209e-05	-9.541730e-05
0	44	2868788.000000	6.207216e-05	-9.974742e-05
0	45	2724957.000000	6.290440e-05	-1.024496e-04
0	46	2633610.000000	6.410794e-05	-1.095759e-04
0	47	2527879.000000	6.401248e-05	-1.197246e-04
0	48	2412253.000000	6.501834e-05	-1.183359e-04
0	49	2336666.000000	6.520465e-05	-1.235471e-04
0	50	2218703.000000	6.530770e-05	-1.299037e-04
0	51	2175876.000000	6.738624e-05	-1.335249e-04
0	52	2094861.000000	6.762721e-05	-1.401852e-04
0	53	2002735.000000	6.828526e-05	-1.404741e-04
0	54	1927669.000000	6.845437e-05	-1.467426e-04
0	55	1863611.000000	6.979441e-05	-1.512575e-04
0	56	1789679.000000	7.063973e-05	-1.527250e-04
0	57	1738505.000000	7.065893e-05	-1.580125e-04
0	58	1676759.000000	7.186185e-05	-1.650868e-04
0	59	1625853.000000	7.312512e-05	-1.676805e-04
0	60	1557996.000000	7.241398e-05	-1.758422e-04
0	61	1523656.000000	7.239675e-05	-1.818444e-04
0	62	1469875.000000	7.330638e-05	-1.893167e-04
0	63	1436611.000000	7.356145e-05	-1.875844e-04
0	64	1375577.000000	7.465590e-05	-1.920863e-04
0	65	1321348.000000	7.423637e-05	-2.011204e-04
0	66	1268458.000000	7.521103e-05	-2.029391e-04
0	67	1232923.000000	7.513862e-05	-2.028977e-04
0	68	1193144.000000	7.630473e-05	-2.129132e-04
0	69	1143000.000000	7.530793e-05	-2.227092e-04
0	70	1110844.000000	7.582887e-05	-2.270367e-04
0	71	1066321.000000	7.811016e-05	-2.282359e-04
0	72	1029348.000000	7.831668e-05	-2.285758e-04
0	73	977811.000000	7.814509e-05	-2.322117e-04
0	74	976566.000000	7.765074e-05	-2.298426e-04
0	75	929892.000000	7.853040e-05	-2.404801e-04
0	76	899263.000000	7.882452e-05	-2.563271e-04
0	77	871626.000000	7.964779e-05	-2.679013e-04
0	78	836210.000000	8.161266e-05	-2.584461e-04
0	79	815683.000000	8.267951e-05	-2.611455e-04
0	80	785575.000000	8.433922e-05	-2.618765e-04
0	81	774690.000000	8.660056e-05	-2.675035e-04
0	82	738350.000000	8.750258e-05	-2.830820e-04
0	83	698319.000000	8.761864e-05	-2.930980e-04
0	84	651132.000000	8.575612e-05	-2.912535e-04
0	85	630550.000000	8.582272e-05	-2.903299e-04
0	86	621031.000000	8.699833e-05	-2.846172e-04
0	87	613843.000000	8.752125e-05	-2.921825e-04
0	88	597058.000000	8.795401e-05	-2.934520e-04
0	89	562328.000000	8.647281e-05	-3.052282e-04
0	90	552002.000000	8.881867e-05	-3.014779e-04
0	91	538850.000000	9.248813e-05	-3.029865e-04
0	92	510722.000000	9.165589e-05	-3.101764e-04
0	93	497066.000000	9.079202e-05	-3.187842e-04
0	94	477728.000000	9.107467e-05	-3.218405e-04
0	95	451368.000000	9.018745e-05	-3.249239e-04
0	96	433534.000000	9.082719e-05	-3.342937e-04
0	97	421505.000000	9.392271e-05	-3.218765e-04
0	98	403834.000000	9.077842e-05	-3.375045e-04
0	99	394465.000000	9.336821e-05	-3.569791e-04
0	100	379994.000000	9.432644e-05	-3.650211e-04
