0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
1.000000	0.970989	0.006346	0.995451	0.002018	0.003223	0.000001	0.000288
2.000000	0.942107	0.012662	0.991181	0.003978	0.006275	0.000006	0.000555
3.000000	0.913540	0.019062	0.986776	0.006178	0.009101	0.000205	0.000806
4.000000	0.885603	0.025517	0.981877	0.008647	0.011570	0.000883	0.001046
5.000000	0.857894	0.032173	0.976201	0.011360	0.013811	0.002243	0.001259
6.000000	0.830664	0.038895	0.969591	0.014315	0.015834	0.004345	0.001476
7.000000	0.803880	0.045702	0.961885	0.017430	0.017716	0.007269	0.001671
8.000000	0.777556	0.052486	0.952963	0.020640	0.019503	0.011146	0.001876
9.000000	0.751385	0.059351	0.942477	0.023944	0.021330	0.016131	0.002105
10.000000	0.725374	0.066251	0.930178	0.027281	0.023225	0.022348	0.002356
11.000000	0.699905	0.072992	0.916127	0.030548	0.025283	0.029712	0.002656
12.000000	0.675130	0.079636	0.900321	0.033717	0.027636	0.038197	0.003006
13.000000	0.651561	0.086013	0.883088	0.036770	0.030230	0.047515	0.003421
14.000000	0.628852	0.092244	0.864338	0.039721	0.033268	0.057652	0.003918
15.000000	0.607246	0.098192	0.844642	0.042587	0.036634	0.068294	0.004511
16.000000	0.587486	0.103739	0.824836	0.045298	0.040166	0.078917	0.005192
17.000000	0.569560	0.108755	0.805696	0.047772	0.043746	0.089088	0.005877
18.000000	0.552805	0.113533	0.786732	0.050159	0.047419	0.099110	0.006625
19.000000	0.535803	0.118412	0.766538	0.052633	0.051513	0.109720	0.007506
20.000000	0.517254	0.123904	0.743367	0.055427	0.056307	0.121836	0.008598
21.000000	0.499007	0.129419	0.719644	0.058315	0.061354	0.134199	0.009864
22.000000	0.483088	0.134032	0.698293	0.060605	0.066029	0.145185	0.011045
23.000000	0.469581	0.137881	0.680065	0.062501	0.070042	0.154524	0.012114
24.000000	0.456947	0.141334	0.662757	0.064317	0.073838	0.163323	0.013208
25.000000	0.442252	0.145458	0.642336	0.066351	0.078462	0.173628	0.014558
26.000000	0.426831	0.149732	0.620422	0.068489	0.083511	0.184557	0.016149
27.000000	0.410623	0.154154	0.597177	0.070625	0.088941	0.196028	0.017918
28.000000	0.394020	0.158520	0.573221	0.072662	0.094526	0.207737	0.019926
29.000000	0.377605	0.162661	0.549363	0.074542	0.100144	0.219200	0.022009
30.000000	0.361100	0.166658	0.525275	0.076233	0.105767	0.230530	0.024255
31.000000	0.344722	0.170407	0.501368	0.077747	0.111375	0.241550	0.026630
32.000000	0.327689	0.174057	0.476331	0.079123	0.117254	0.252755	0.029266
33.000000	0.309663	0.177757	0.449855	0.080350	0.123496	0.264235	0.032280
34.000000	0.290569	0.181400	0.421653	0.081363	0.130256	0.275863	0.035690
35.000000	0.270778	0.184894	0.392411	0.082059	0.137185	0.287168	0.039494
36.000000	0.250861	0.187984	0.363095	0.082311	0.144138	0.297790	0.043608
37.000000	0.231226	0.190624	0.333922	0.082391	0.150908	0.307220	0.048050
38.000000	0.212206	0.192805	0.306386	0.081407	0.157395	0.315204	0.052342
39.000000	0.194236	0.194757	0.278772	0.081395	0.163749	0.321619	0.057503
40.000000	0.180850	0.195040	0.260940	0.079000	0.167480	0.325340	0.060210
